area,feeder,PEANO
N1,NIA06,20117596
N1,NIA06,26896732
N1,NIA06,6100822694
N1,NIA08,22979687
N1,NIA08,E017518
N1,NIA08,27159922
N1,NIA08,28647554
N1,NIA08,5800254762
N1,NIA08,29812895
N1,NIA08,24101638
N1,NIA08,14809371
N1,NIA08,24176735
N1,NIA08,18544673
N1,NIA08,5800294985
N1,NIA08,25247698
N1,NIA08,5600681379
N1,NIA08,5700257909
N1,NIA08,29812903
N1,NIA08,5800294983
N1,NIA08,5600060614
N1,NIA08,16043240
N1,NIA08,19809182
N1,NIA08,5600055595
N1,NIA08,29812773
N1,NIA08,20839856
N1,NIA08,5700258494
N1,NIA08,6100545843
N1,NIA08,29809752
N1,NIA08,5800448861
N1,NIA08,26819964
N1,NIA08,29124580
N1,NIA08,19401937
N1,NIA08,14809370
N1,NIA08,5800448811
N1,NIA08,20890546
N1,NIA08,27795885
N1,NIA08,28569804
N1,NIA08,29812900
N1,NIA08,29812770
N1,NIA08,14606805
N1,NIA08,23002310
N1,NIA08,20642194
N1,NIA08,5700244346
N1,NIA08,27068723
N1,NIA08,20642196
N1,NIA08,29812899
N1,NIA08,5700259296
N1,NIA08,23429265
N1,NIA08,24179128
N1,NIA08,90309088
N1,NIA08,16955820
N1,NIA08,5800448850
N1,NIA08,28050932
N1,NIA08,26819976
N1,NIA08,27817328
N1,NIA08,23076489
N1,NIA08,14809329
N1,NIA08,5600681382
N1,NIA08,20642193
N1,NIA08,21745523
N1,NIA08,26925506
N1,NIA08,20217405
N1,NIA08,29104072
N1,NIA08,18524805
N1,NIA08,16971383
N1,NIA08,23270379
N1,NIA08,25204955
N1,NIA08,29189944
N1,NIA08,29066924
N1,NIA08,5800448851
N1,NIA08,16043246
N1,NIA08,29071289
N1,NIA08,24179127
N1,NIA08,29812975
N1,NIA08,21095433
N1,NIA08,5600060691
N1,NIA08,17331929
N1,NIA08,5600060613
N1,NIA08,29812972
N1,NIA08,23079170
N1,NIA08,29104173
N1,NIA08,14809331
N1,NIA08,19963857
N1,NIA08,5801355356
N1,NIA08,6100000089
N1,NIA08,22979732
N1,NIA08,5600060688
N1,NIA08,29079988
N1,NIA08,27883889
N1,NIA08,26819981
N1,NIA08,29812978
N1,NIA08,5800254664
N1,NIA08,21095439
N1,NIA08,29812951
N1,NIA08,24260938
N1,NIA08,20308303
N1,NIA08,21987993
N1,NIA08,6000266202
N1,NIA08,28628225
N1,NIA08,29813002
N1,NIA08,20642188
N1,NIA08,29156925
N1,NIA08,28010797
N1,NIA08,27802690
N1,NIA08,5800338006
N1,NIA08,5701450891
N1,NIA08,29079985
N1,NIA08,17331921
N1,NIA08,16043253
N1,NIA08,26819973
N1,NIA08,29812772
N1,NIA08,24320318
N1,NIA08,26819980
N1,NIA08,21095441
